"pin [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
0,2.0465,-0.00713415015989835,-45.4755918911757
0,2.04675,-0.007136051330689,-45.4815445421946
0,2.047,-0.00713795313882305,-45.4874974747253
0,2.04725,-0.00713985558458079,-45.4934506889966
0,2.0475,-0.00714175866824445,-45.4994041852375
0,2.04775,-0.00714366239010109,-45.5053579636773
0,2.048,-0.00714556675043199,-45.5113120245455
0,2.04825,-0.00714747174952517,-45.5172663680721
0,2.0485,-0.00714937738766287,-45.5232209944872
0,2.04875,-0.00715128366513022,-45.5291759040213
0,2.049,-0.00715319058221041,-45.5351310969051
0,2.04925,-0.00715509813919244,-45.5410865733698
0,2.0495,-0.00715700633635952,-45.5470423336465
0,2.04975,-0.00715891517399775,-45.5529983779671
0,2.05,-0.00716082465239031,-45.5589547065633
0,2.05025,-0.00716273477183201,-45.5649113196675
0,2.0505,-0.00716464553260122,-45.570868217512
0,2.05075,-0.00716655693498307,-45.5768254003299
0,2.051,-0.00716846897927331,-45.5827828683541
0,2.05125,-0.00717038166575033,-45.588740621818
0,2.0515,-0.00717229499470988,-45.5946986609555
0,2.05175,-0.00717420896643226,-45.6006569860004
0,2.052,-0.0071761235812113,-45.606615597187
0,2.05225,-0.00717803883933118,-45.6125744947501
0,2.0525,-0.00717995474108281,-45.6185336789243
0,2.05275,-0.00718187128674941,-45.624493149945
0,2.053,-0.00718378847662962,-45.6304529080477
0,2.05325,-0.00718570631100281,-45.636412953468
0,2.0535,-0.00718762479016664,-45.6423732864423
0,2.05375,-0.00718954391440722,-45.6483339072067
0,2.054,-0.00719146368401356,-45.654294815998
0,2.05425,-0.00719338409927852,-45.6602560130532
0,2.0545,-0.00719530516048916,-45.6662174986097
0,2.05475,-0.00719722686793739,-45.6721792729049
0,2.055,-0.0071991492219151,-45.6781413361769
0,2.05525,-0.00720107222271515,-45.6841036886639
0,2.0555,-0.00720299587062558,-45.6900663306042
0,2.05575,-0.00720492016594022,-45.6960292622369
0,2.056,-0.00720684510894904,-45.7019924838009
0,2.05625,-0.0072087706999478,-45.7079559955358
0,2.0565,-0.0072106969392255,-45.7139197976813
0,2.05675,-0.00721262382707501,-45.7198838904773
0,2.057,-0.00721455136379112,-45.7258482741644
0,2.05725,-0.0072164795496667,-45.7318129489831
0,2.0575,-0.00721840838499558,-45.7377779151744
0,2.05775,-0.00722033787007256,-45.7437431729795
0,2.058,-0.0072222680051876,-45.7497087226402
0,2.05825,-0.00722419879063938,-45.7556745643983
0,2.0585,-0.00722613022671882,-45.7616406984959
0,2.05875,-0.00722806231372362,-45.7676071251757
0,2.059,-0.00722999505195148,-45.7735738446804
0,2.05925,-0.00723192844168946,-45.7795408572532
0,2.0595,-0.00723386248323914,-45.7855081631376
0,2.05975,-0.00723579717689434,-45.7914757625773
0,2.06,-0.00723773252295179,-45.7974436558164
0,2.06025,-0.0072396685217063,-45.8034118430994
0,2.0605,-0.00724160517345846,-45.8093803246708
0,2.06075,-0.00724354247850307,-45.8153491007759
0,2.061,-0.00724548043713493,-45.8213181716598
0,2.06125,-0.00724741904965463,-45.8272875375684
0,2.0615,-0.00724935831636085,-45.8332571987475
0,2.06175,-0.00725129823754645,-45.8392271554434
0,2.062,-0.00725323881351395,-45.8451974079029
0,2.06225,-0.00725518004455914,-45.8511679563727
0,2.0625,-0.00725712193098259,-45.8571388011002
0,2.06275,-0.00725906447308299,-45.8631099423329
0,2.063,-0.00726100767115996,-45.8690813803188
0,2.06325,-0.00726295152551119,-45.8750531153061
0,2.0635,-0.0072648960364402,-45.8810251475431
0,2.06375,-0.0072668412042437,-45.886997477279
0,2.064,-0.00726878702922037,-45.8929701047627
0,2.06425,-0.00727073351167564,-45.8989430302439
0,2.0645,-0.00727268065190914,-45.9049162539723
0,2.06475,-0.0072746284502205,-45.9108897761982
0,2.065,-0.00727657690691031,-45.9168635971719
0,2.06525,-0.00727852602228306,-45.9228377171442
0,2.0655,-0.00728047579663835,-45.9288121363664
0,2.06575,-0.00728242623027971,-45.9347868550898
0,2.066,-0.00728437732350965,-45.9407618735663
0,2.06625,-0.00728632907662974,-45.9467371920478
0,2.0665,-0.00728828148994542,-45.952712810787
0,2.06675,-0.00729023456375728,-45.9586887300364
0,2.067,-0.00729218829837171,-45.9646649500493
0,2.06725,-0.0072941426940874,-45.970641471079
0,2.0675,-0.00729609775121267,-45.9766182933793
0,2.06775,-0.00729805347005391,-45.9825954172043
0,2.068,-0.00730000985091268,-45.9885728428083
0,2.06825,-0.00730196689409444,-45.9945505704461
0,2.0685,-0.00730392459990073,-46.0005286003728
0,2.06875,-0.00730588296864472,-46.0065069328439
0,2.069,-0.00730784200062798,-46.0124855681149
0,2.06925,-0.00730980169615691,-46.0184645064421
0,2.0695,-0.00731176205553597,-46.0244437480818
0,2.06975,-0.0073137230790735,-46.0304232932907
0,2.07,-0.00731568476707781,-46.036403142326
0,2.07025,-0.00731764711985339,-46.0423832954451
0,2.0705,-0.00731961013771146,-46.0483637529056
0,2.07075,-0.00732157382095552,-46.0543445149658
0,2.071,-0.00732353816989487,-46.0603255818839
0,2.07125,-0.00732550318484073,-46.0663069539189
0,2.0715,-0.00732746886610048,-46.0722886313298
0,2.07175,-0.00732943521397761,-46.078270614376
0,2.072,-0.00733140222878819,-46.0842529033173
0,2.07225,-0.00733336991083958,-46.0902354984138
0,2.0725,-0.00733533826044012,-46.096218399926
0,2.07275,-0.0073373072778991,-46.1022016081148
0,2.073,-0.00733927696352872,-46.1081851232413
0,2.07325,-0.00734124731764214,-46.1141689455669
0,2.0735,-0.00734321834054384,-46.1201530753534
0,2.07375,-0.00734519003254987,-46.1261375128632
0,2.074,-0.00734716239397049,-46.1321222583586
0,2.07425,-0.00734913542511792,-46.1381073121027
0,2.0745,-0.00735110912630048,-46.1440926743585
0,2.07475,-0.00735308349783519,-46.1500783453896
0,2.075,-0.0073550585400333,-46.15606432546
0,2.07525,-0.00735703425320603,-46.1620506148339
0,2.0755,-0.00735901063766848,-46.1680372137759
0,2.07575,-0.00736098769373189,-46.174024122551
0,2.076,-0.00736296542171328,-46.1800113414245
0,2.07625,-0.00736494382192388,-46.185998870662
0,2.0765,-0.00736692289467783,-46.1919867105295
0,2.07675,-0.00736890264029409,-46.1979748612934
0,2.077,-0.00737088305908196,-46.2039633232204
0,2.07725,-0.00737286415135848,-46.2099520965775
0,2.0775,-0.00737484591743873,-46.2159411816322
0,2.07775,-0.00737682835764168,-46.2219305786522
0,2.078,-0.00737881147228436,-46.2279202879057
0,2.07825,-0.00738079526167511,-46.2339103096611
0,2.0785,-0.00738277972613676,-46.2399006441872
0,2.07875,-0.00738476486598344,-46.2458912917532
0,2.079,-0.00738675068153604,-46.2518822526288
0,2.07925,-0.00738873717311063,-46.2578735270837
0,2.0795,-0.00739072434102327,-46.2638651153882
0,2.07975,-0.00739271218559583,-46.269857017813
0,2.08,-0.00739470070713954,-46.275849234629
0,2.08025,-0.0073966899059811,-46.2818417661076
0,2.0805,-0.00739867978243561,-46.2878346125204
0,2.08075,-0.00740067033682395,-46.2938277741395
0,2.081,-0.0074026615694651,-46.2998212512373
0,2.08125,-0.00740465348067803,-46.3058150440866
0,2.0815,-0.00740664607078459,-46.3118091529606
0,2.08175,-0.00740863934010278,-46.3178035781327
0,2.082,-0.00741063328895737,-46.3237983198768
0,2.08225,-0.00741262791766828,-46.3297933784672
0,2.0825,-0.00741462322655546,-46.3357887541784
0,2.08275,-0.00741661921593882,-46.3417844472854
0,2.083,-0.00741861588614797,-46.3477804580636
0,2.08325,-0.00742061323749704,-46.3537767867886
0,2.0835,-0.00742261127031272,-46.3597734337365
0,2.08375,-0.00742460998491785,-46.3657703991837
0,2.084,-0.00742660938163526,-46.3717676834071
0,2.08425,-0.0074286094607897,-46.3777652866837
0,2.0845,-0.00743061022270209,-46.3837632092912
0,2.08475,-0.00743261166769814,-46.3897614515075
0,2.085,-0.00743461379610359,-46.3957600136108
0,2.08525,-0.00743661660824417,-46.4017588958798
0,2.0855,-0.00743862010444175,-46.4077580985936
