Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.6435,-0.012615879,-60.46520729
2.645,-0.012654712,-60.52189089
2.6465,-0.012694104,-60.57896759
2.648,-0.012734073,-60.63644772
2.6495,-0.012774638,-60.69434197
2.651,-0.012815819,-60.75266142
2.6525,-0.012857634,-60.81141755
2.654,-0.012900107,-60.87062224
2.6555,-0.012943259,-60.93028783
2.657,-0.012987112,-60.99042713
2.6585,-0.013031693,-61.05105339
2.66,-0.013077025,-61.11218039
2.6615,-0.013123135,-61.17382245
2.663,-0.013170051,-61.2359944
2.6645,-0.013217803,-61.2987117
2.666,-0.01326642,-61.36199037
2.6675,-0.013315935,-61.4258471
2.669,-0.013366381,-61.49029924
2.6705,-0.013417793,-61.55536485
2.672,-0.013470209,-61.62106272
2.6735,-0.013523666,-61.68741241
2.675,-0.013578207,-61.75443434
2.6765,-0.013633873,-61.82214974
2.678,-0.013690709,-61.89058078
2.6795,-0.013748764,-61.95975059
2.681,-0.013808087,-62.0296833
2.6825,-0.013868731,-62.10040409
2.684,-0.013930751,-62.1719393
2.6855,-0.013994206,-62.24431644
2.687,-0.014059158,-62.31756426
2.6885,-0.014125672,-62.39171287
2.69,-0.014193818,-62.46679377
2.6915,-0.014263668,-62.54283995
2.693,-0.0143353,-62.61988598
2.6945,-0.014408796,-62.69796811
2.696,-0.014484242,-62.77712436
2.6975,-0.014561731,-62.85739464
2.699,-0.014641361,-62.93882087
2.7005,-0.014723235,-63.02144708
2.702,-0.014807465,-63.10531962
2.7035,-0.014894166,-63.1904872
2.705,-0.014983466,-63.27700115
2.7065,-0.015075497,-63.36491553
2.708,-0.015170401,-63.45428736
2.7095,-0.01526833,-63.54517679
2.711,-0.015369447,-63.6376473
2.7125,-0.015473925,-63.73176603
2.714,-0.01558195,-63.82760391
2.7155,-0.015693721,-63.92523606
2.717,-0.015809453,-64.02474201
2.7185,-0.015929374,-64.12620608
2.72,-0.016053731,-64.22971773
2.7215,-0.01618279,-64.33537195
2.723,-0.016316836,-64.4432697
2.7245,-0.016456179,-64.5535184
2.726,-0.016601151,-64.66623243
2.7275,-0.016752112,-64.78153373
2.729,-0.016909454,-64.8995524
2.7305,-0.017073598,-65.02042743
2.732,-0.017245005,-65.14430744
2.7335,-0.017424172,-65.27135157
2.735,-0.017611645,-65.40173037
2.7365,-0.017808015,-65.53562689
2.738,-0.018013931,-65.67323781
2.7395,-0.018230099,-65.81477476
2.741,-0.018457297,-65.96046577
2.7425,-0.018696377,-66.11055683
2.744,-0.018948274,-66.26531378
2.7455,-0.019214023,-66.42502428
2.747,-0.019494762,-66.59000013
2.7485,-0.019791753,-66.76057983
2.75,-0.020106393,-66.93713154
2.7515,-0.020440236,-67.12005633
2.753,-0.020795011,-67.309792
2.7545,-0.02117265,-67.50681735
2.756,-0.021575315,-67.71165708
2.7575,-0.022005432,-67.92488743
2.759,-0.022465729,-68.14714266
2.7605,-0.022959289,-68.37912252
2.762,-0.023489598,-68.62160091
2.7635,-0.024060619,-68.87543596
2.765,-0.024676866,-69.1415818
