"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-15,2.782,-0.00599216236077573,-71.2692163054087
-15,2.7825,-0.00599320947864146,-71.2820823027952
-15,2.783,-0.00599425675087311,-71.2949483271708
-15,2.7835,-0.00599530417750258,-71.3078143785364
-15,2.784,-0.0059963517585666,-71.3206804568928
-15,2.7845,-0.00599739949409803,-71.3335465622406
-15,2.785,-0.0059984473841336,-71.3464126945807
-15,2.7855,-0.00599949542870907,-71.3592788539137
-15,2.786,-0.00600054362784959,-71.3721450402405
-15,2.7865,-0.00600159198159863,-71.3850112535617
-15,2.787,-0.00600264048998906,-71.3978774938781
-15,2.7875,-0.00600368915305085,-71.4107437611905
-15,2.788,-0.0060047379708246,-71.4236100554996
-15,2.7885,-0.00600578694333833,-71.436476376806
-15,2.789,-0.00600683607063167,-71.4493427251106
-15,2.7895,-0.00600788535273266,-71.4622091004141
-15,2.79,-0.00600893478967803,-71.4750755027172
-15,2.7905,-0.00600998438150546,-71.4879419320206
-15,2.791,-0.00601103412824686,-71.5008083883251
-15,2.7915,-0.00601208402993317,-71.5136748716314
-15,2.792,-0.00601313408660015,-71.5265413819402
-15,2.7925,-0.00601418429828741,-71.5394079192521
-15,2.793,-0.0060152346650201,-71.5522744835681
-15,2.7935,-0.0060162851868417,-71.5651410748886
-15,2.794,-0.00601733586377737,-71.5780076932146
-15,2.7945,-0.00601838669586479,-71.5908743385466
-15,2.795,-0.00601943768314068,-71.6037410108854
-15,2.7955,-0.00602048882563406,-71.6166077102317
-15,2.796,-0.00602154012338068,-71.6294744365862
-15,2.7965,-0.00602259157641727,-71.6423411899495
-15,2.797,-0.0060236431847738,-71.6552079703225
-15,2.7975,-0.006024694948487,-71.6680747777058
-15,2.798,-0.00602574686758974,-71.6809416121001
-15,2.7985,-0.00602679894211391,-71.693808473506
-15,2.799,-0.00602785117209914,-71.7066753619244
-15,2.7995,-0.00602890355757153,-71.7195422773558
-15,2.8,-0.00602995609856975,-71.7324092198009
-15,2.8005,-0.0060310087951257,-71.7452761892605
-15,2.801,-0.0060320616472761,-71.7581431857353
-15,2.8015,-0.00603311465505189,-71.7710102092259
-15,2.802,-0.00603416781848883,-71.7838772597329
-15,2.8025,-0.00603522113761786,-71.7967443372572
-15,2.803,-0.00603627461247474,-71.8096114417992
-15,2.8035,-0.00603732824309329,-71.8224785733598
-15,2.804,-0.00603838202950543,-71.8353457319397
-15,2.8045,-0.00603943597174788,-71.8482129175394
-15,2.805,-0.00604049006985254,-71.8610801301596
-15,2.8055,-0.00604154432385227,-71.873947369801
-15,2.806,-0.00604259873378091,-71.8868146364643
-15,2.8065,-0.0060436532996723,-71.8996819301501
-15,2.807,-0.00604470802156122,-71.9125492508591
-15,2.8075,-0.00604576289948054,-71.925416598592
-15,2.808,-0.0060468179334641,-71.9382839733494
-15,2.8085,-0.0060478731235438,-71.9511513751319
-15,2.809,-0.00604892846975733,-71.9640188039402
-15,2.8095,-0.00604998397213466,-71.976886259775
-15,2.81,-0.00605103963070576,-71.989753742637
-15,2.8105,-0.00605209544551122,-72.0026212525267
-15,2.811,-0.00605315141658391,-72.0154887894448
-15,2.8115,-0.0060542075439509,-72.0283563533919
-15,2.812,-0.00605526382765085,-72.0412239443688
-15,2.8125,-0.00605632026771856,-72.0540915623759
-15,2.813,-0.00605737686418207,-72.0669592074141
-15,2.8135,-0.00605843361708004,-72.0798268794838
-15,2.814,-0.00605949052644148,-72.0926945785857
-15,2.8145,-0.00606054759230406,-72.1055623047206
-15,2.815,-0.00606160481469778,-72.1184300578888
-15,2.8155,-0.00606266219365839,-72.1312978380913
-15,2.816,-0.00606371972921489,-72.1441656453285
-15,2.8165,-0.00606477742140692,-72.157033479601
-15,2.817,-0.00606583527026444,-72.1699013409095
-15,2.8175,-0.00606689327581742,-72.1827692292546
-15,2.818,-0.00606795143810356,-72.195637144637
-15,2.8185,-0.00606900975715669,-72.2085050870571
-15,2.819,-0.00607006823300774,-72.2213730565158
-15,2.8195,-0.00607112686568766,-72.2342410530135
-15,2.82,-0.006072185655238,-72.2471090765508
-15,2.8205,-0.0060732446016839,-72.2599771271284
-15,2.821,-0.00607430370506112,-72.2728452047469
-15,2.8215,-0.00607536296540447,-72.2857133094069
-15,2.822,-0.00607642238274198,-72.298581441109
-15,2.8225,-0.00607748195711425,-72.3114495998537
-15,2.823,-0.00607854168854739,-72.3243177856417
-15,2.8235,-0.00607960157708004,-72.3371859984736
-15,2.824,-0.0060806616227422,-72.35005423835
-15,2.8245,-0.00608172182556479,-72.3629225052714
-15,2.825,-0.00608278218558743,-72.3757907992384
-15,2.8255,-0.00608384270284011,-72.3886591202517
-15,2.826,-0.00608490337735375,-72.4015274683117
-15,2.8265,-0.00608596420916122,-72.4143958434192
-15,2.827,-0.00608702519830022,-72.4272642455747
-15,2.8275,-0.00608808634479687,-72.4401326747787
-15,2.828,-0.0060891476486927,-72.4530011310318
-15,2.8285,-0.00609020911001288,-72.4658696143347
-15,2.829,-0.00609127072879412,-72.4787381246878
-15,2.8295,-0.00609233250506834,-72.4916066620918
-15,2.83,-0.00609339443886839,-72.5044752265472
-15,2.8305,-0.00609445653022716,-72.5173438180545
-15,2.831,-0.00609551877918039,-72.5302124366145
-15,2.8315,-0.00609658118575807,-72.5430810822275
-15,2.832,-0.00609764374999209,-72.5559497548942
-15,2.8325,-0.00609870647191918,-72.5688184546152
-15,2.833,-0.00609976935156836,-72.5816871813908
-15,2.8335,-0.00610083238897345,-72.5945559352219
-15,2.834,-0.00610189558416733,-72.6074247161089
-15,2.8345,-0.00610295893718382,-72.6202935240523
-15,2.835,-0.00610402244805677,-72.6331623590526
-15,2.8355,-0.00610508611681517,-72.6460312211106
-15,2.836,-0.00610614994349382,-72.6589001102266
-15,2.8365,-0.00610721392812657,-72.6717690264012
-15,2.837,-0.0061082780707453,-72.684637969635
-15,2.8375,-0.00610934237138097,-72.6975069399285
-15,2.838,-0.0061104068300703,-72.7103759372822
