"cs_high [mm]","dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
18,-10,2.749,-0.0085689910629253,-103.28319157606
18,-10,2.75,-0.00857157780676343,-103.320922525365
18,-10,2.751,-0.00857416473909376,-103.358653602613
18,-10,2.752,-0.00857675185973014,-103.396384807764
18,-10,2.753,-0.00857933916848743,-103.434116140781
18,-10,2.754,-0.00858192666518526,-103.471847601625
18,-10,2.755,-0.00858451434963367,-103.509579190259
18,-10,2.756,-0.0085871022216523,-103.547310906644
18,-10,2.757,-0.00858969028105309,-103.58504275074
18,-10,2.758,-0.00859227852765667,-103.622774722511
18,-10,2.759,-0.00859486696127015,-103.660506821916
18,-10,2.76,-0.00859745558171028,-103.698239048919
18,-10,2.761,-0.00860004438878805,-103.735971403478
18,-10,2.762,-0.00860263338231829,-103.773703885557
18,-10,2.763,-0.00860522256211389,-103.811436495116
18,-10,2.764,-0.0086078119279839,-103.849169232116
18,-10,2.765,-0.00861040147974314,-103.886902096518
18,-10,2.766,-0.00861299121719874,-103.924635088283
18,-10,2.767,-0.00861558114016647,-103.962368207372
18,-10,2.768,-0.00861817124845249,-104.000101453746
18,-10,2.769,-0.00862076154186971,-104.037834827365
18,-10,2.77,-0.00862335202022521,-104.07556832819
18,-10,2.771,-0.00862594268333095,-104.113301956182
18,-10,2.772,-0.0086285335309921,-104.151035711301
18,-10,2.773,-0.00863112456301865,-104.188769593508
18,-10,2.774,-0.00863371577922352,-104.226503602763
18,-10,2.775,-0.00863630717940415,-104.264237739026
18,-10,2.776,-0.00863889876337538,-104.301972002257
18,-10,2.777,-0.00864149053094045,-104.339706392418
18,-10,2.778,-0.00864408248190839,-104.377440909467
18,-10,2.779,-0.00864667461608342,-104.415175553365
18,-10,2.78,-0.00864926693327072,-104.452910324072
18,-10,2.781,-0.00865185943327834,-104.490645221548
18,-10,2.782,-0.00865445211590762,-104.528380245753
18,-10,2.783,-0.00865704498096179,-104.566115396646
18,-10,2.784,-0.00865963802824796,-104.603850674188
18,-10,2.785,-0.00866223125757226,-104.641586078337
18,-10,2.786,-0.00866482466873119,-104.679321609054
18,-10,2.787,-0.00866741826153185,-104.717057266298
18,-10,2.788,-0.00867001203577748,-104.754793050029
18,-10,2.789,-0.00867260599126553,-104.792528960205
18,-10,2.79,-0.00867520012780311,-104.830264996786
18,-10,2.791,-0.00867779444518478,-104.868001159732
18,-10,2.792,-0.00868038894321859,-104.905737449001
18,-10,2.793,-0.00868298362170201,-104.943473864553
18,-10,2.794,-0.00868557848043344,-104.981210406347
18,-10,2.795,-0.00868817351921516,-105.018947074342
18,-10,2.796,-0.00869076873784367,-105.056683868497
18,-10,2.797,-0.00869336413612026,-105.094420788769
18,-10,2.798,-0.00869595971384238,-105.13215783512
18,-10,2.799,-0.00869855547080847,-105.169895007506
18,-10,2.8,-0.00870115140681498,-105.207632305887
18,-10,2.801,-0.00870374752166324,-105.245369730222
18,-10,2.802,-0.00870634381514393,-105.283107280468
18,-10,2.803,-0.00870894028705741,-105.320844956585
18,-10,2.804,-0.00871153693720208,-105.35858275853
18,-10,2.805,-0.00871413376536863,-105.396320686262
18,-10,2.806,-0.00871673077135644,-105.43405873974
18,-10,2.807,-0.00871932795495717,-105.471796918921
18,-10,2.808,-0.00872192531596922,-105.509535223764
18,-10,2.809,-0.00872452285418716,-105.547273654226
18,-10,2.81,-0.00872712056939877,-105.585012210266
18,-10,2.811,-0.00872971846139957,-105.622750891842
18,-10,2.812,-0.00873231652998604,-105.660489698911
18,-10,2.813,-0.00873491477495369,-105.698228631431
18,-10,2.814,-0.00873751319608646,-105.735967689361
18,-10,2.815,-0.00874011179318276,-105.773706872657
18,-10,2.816,-0.00874271056603037,-105.811446181277
