"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
6,2.7275,-0.0193915874788469,166.427402818976
6,2.728,-0.0193946310260165,166.390851266484
6,2.7285,-0.0193976875085555,166.35428962115
6,2.729,-0.0194007573641683,166.317717643788
6,2.7295,-0.0194038410482463,166.281135087447
6,2.73,-0.0194069390347537,166.244541697097
6,2.7305,-0.0194100518171292,166.20793720929
6,2.731,-0.0194131799092709,166.171321351819
6,2.7315,-0.0194163238465557,166.13469384334
6,2.732,-0.0194194841869377,166.098054392994
6,2.7325,-0.0194226615120932,166.061402699996
6,2.733,-0.0194258564286553,166.024738453212
6,2.7335,-0.0194290695695029,165.988061330705
6,2.734,-0.0194323015951477,165.951370999264
6,2.7345,-0.0194355531951912,165.91466711391
6,2.735,-0.019438825089889,165.877949317365
6,2.7355,-0.0194421180317893,165.841217239503
6,2.736,-0.0194454328075073,165.804470496766
6,2.7365,-0.0194487702395832,165.767708691549
6,2.737,-0.0194521311884884,165.730931411553
6,2.7375,-0.0194555165547327,165.694138229094
6,2.738,-0.0194589272811366,165.657328700385
6,2.7385,-0.0194623643552466,165.620502364767
6,2.739,-0.0194658288119033,165.583658743901
6,2.7395,-0.0194693217360001,165.546797340909
6,2.74,-0.0194728442654134,165.509917639471
6,2.7405,-0.0194763975941546,165.473019102861
6,2.741,-0.019479982975734,165.43610117293
6,2.7415,-0.0194836017267537,165.399163269025
6,2.742,-0.0194872552307715,165.362204786847
6,2.7425,-0.0194909449424363,165.325225097228
6,2.743,-0.0194946723919247,165.288223544847
6,2.7435,-0.0194984391897167,165.251199446847
6,2.744,-0.0195022470316932,165.214152091382
6,2.7445,-0.0195060977046703,165.177080736056
6,2.745,-0.0195099930922954,165.139984606267
6,2.7455,-0.0195139351814544,165.102862893445
6,2.746,-0.0195179260691349,165.065714753166
6,2.7465,-0.0195219679698398,165.028539303142
6,2.747,-0.0195260632236057,164.991335621074
6,2.7475,-0.0195302143046556,164.954102742363
6,2.748,-0.0195344238307519,164.916839657649
6,2.7485,-0.019538694573325,164.879545310189
6,2.749,-0.0195430294684639,164.842218593041
6,2.7495,-0.0195474316287922,164.80485834605
